Conference Acronym	Year	Conference Name	City	Country	ResearchArea
AALTD@ECML	2023	International Workshop on Advanced Analytics and Learning on Temporal Data	Torino	 Italy	ML
PharML	2023	PharML 2023: Machine Learning for Pharma and Healthcare Applications	Turin	 Italy	ML
EuroSymposium	2023	EuroSymposium 2023: The XVth EuroSymposium on Digital Transformation, 28th of September, 2023, Hybrid, University of Gdansk, Poland (LNBIP proceedings)	Sopot	 Poland	ML
Distributed ML and Opt.	2023	Distributed Machine Learning and Optimization: Theory and Applications	Springer		ML
KDD DSHealth Workshop	2023	KDD DSHealth 2023: Workshop on Applied Data Science for Healthcare	Long Beach	 CA	ML
ICDLT--Ei	2023	2023 7th International Conference on Deep Learning Technologies (ICDLT 2023)	Dalian	 China	ML
ML4CS	2023	5th International Conference on Machine Learning for Cyber Security	Nadi	 Fiji	ML
IMVIP	2023	25th Irish Machine Vision and Image Processing Conference	Galway	 Ireland	ML
LIMBO@ECML/PKDD	2023	LIMBO@ECML/PKDD 2023 International workshop on LearnIng and Mining for BlOckchains	Turin	 Italy	ML
LQ @ ECML-PKDD	2023	3rd International Workshop on Learning to Quantify: Methods and Applications	Torino	 Italy	ML
MLSA	2023	Machine Learning and Data Mining for Sports Analytics	Turin	 Italy	ML
ARIAL@ECML 	2023	ARIAL@ECML 2023 : 6th Workshop on AI for Aging, Rehabilitation, and Intelligent Assisted Living	Turin	 Italy	ML
DiTox	2023	1st International Workshop on Disinformation and Toxic Content Analysis	Vienna	 Austria	ML
ADACIS	2023	International Conference on Advances in Data-driven Analytics and Intelligent Systems	Marrakech	 Morocco	ML
DS	2023	Discovery Science 2023	Porto	 Portugal	ML
KDD_OARS	2023	3rd workshop of Online and Adaptive Recommender Systems (OARS)at KDD 2023	Long Beach	 CA	ML
ECQM	2023	QuMatrix-KIE European International Conference on Quantum Computing	Madrid	 Spain	ML
WISE	2023	24th International Conference on Web Information Systems Engineering (WISE2023)	Melbourne		ML
DAGM GCPR	2023	German Conference on Patter Recognition	Heidelberg	 Germany	ML
